Filename,Gloss,Description,Comment
angst-2.mp4,angst 2,,
angstanfall.mp4,angstanfall,,
animasjon-1.mp4,animasjon 1,,
animasjon-2.mp4,animasjon 2,,
animatoer.mp4,animatør,,
anke.mp4,anke,,
vrikke-over-1.mp4,ankelforstuing,,
anker.mp4,anker,,
ankeutvalg.mp4,ankeutvalg,,
anmelde.mp4,anmelde 1,,
anmelde-2.mp4,anmelde 2,,
anmeldelse.mp4,anmeldelse 1,,
anmeldelse-2.mp4,anmeldelse 2,,
anne-3.mp4,Anne 1,,
anne-1.mp4,Anne 2,,
anne-2.mp4,Anne 3,,
anne-kari.mp4,Anne-Kari,,
annen-annet.mp4,annen/annet,,
annerledes.mp4,annerledes,,
annonse-1.mp4,annonse 1,,
annonse-2.mp4,annonse 2,,
anonym.mp4,anonym 1,,
anonym-2.mp4,anonym 2,,
anonym-3.mp4,anonym 3,,
anorakk.mp4,anorakk,,
anoreksi.mp4,anoreksi,,
ansats-bowling.mp4,ansats (bowling),,
ansatt.mp4,ansatt,,
ansatte.mp4,ansatte,,
ansette.mp4,ansette,,
ansikt.mp4,ansikt,,
anstendig.mp4,anstendig,,
angstrengelsesastma.mp4,anstrengelsesastma,,
ansvar.mp4,ansvar,,
ansvarlig.mp4,ansvarlig,,
antall.mp4,antall,,
antenne.mp4,antenne,,
antenne-2.mp4,antenne (tenne på),,
antibac-1.mp4,antibac 1,,
antibac-2.mp4,antibac 2,,
antibiotika.mp4,antibiotika,,
antidepressiva.mp4,antidepressiva,,
antikken.mp4,antikken,,
antimaterie.mp4,antimaterie,,
antisemittisme.mp4,antisemittisme,,
antistoff.mp4,antistoff,,
antyde.mp4,antyde,,
ape-1.mp4,ape 1,,
ape-2.mp4,ape 2,,
ape-3.mp4,ape 3,,
ape-profil.mp4,ape: profil,,
apokryfer.mp4,apokryfe,,
apollo.mp4,Apollo (romfartøy),,
apostel-1.mp4,apostel 1,,
apostel-2.mp4,apostel 2,,
apostel.mp4,apostel 3,,
apotek.mp4,apotek,,
app.mp4,app (applikasjon) 1,,
app-2.mp4,app (applikasjon) 2,,
apparat-1.mp4,apparat 1,,
apparat-2.mp4,apparat 2,,
appelsin.mp4,appelsin,,
appelsinjuice.mp4,appelsinjuice,,
appetitt.mp4,appetitt,,
applaus.mp4,applaus,,
april.mp4,april,,
arabia.mp4,Arabia,,
arabisk-1.mp4,arabisk 1,,
arabisk-2.mp4,arabisk 2,,
arabisk-3.mp4,arabisk 3,,
arbeid.mp4,arbeid,,
arbeide.mp4,arbeide,,
arbeidspartiet.mp4,Arbeiderpartiet,,
arbeidsavklaringspenger.mp4,arbeidsavklaringspenger,,
arbeidsgiver.mp4,arbeidsgiver,,
arbeidsklaer.mp4,arbeidsklær,,
arbeidsledig.mp4,arbeidsledig,,
arbeidsoppgave.mp4,arbeidsoppgave,,
arbeidsordre.mp4,arbeidsordre,,
arbeidsplass.mp4,arbeidsplass,,
areal.mp4,areal,,
arendal.mp4,Arendal,,
argentina-1.mp4,Argentina 1,,
argentina-2.mp4,Argentina 2,,
argument.mp4,argument 1,,
argument-2.mp4,argument 2,,
argumentere.mp4,argumentere,,
arild.mp4,Arild,,
aristoteles.mp4,Aristoteles (filosof),,
ark.mp4,ark (kvist),,
ark-papirark.mp4,ark (papirark),,
arkeologi.mp4,arkeologi,,
arkitekt-1.mp4,arkitekt 1,,
arkitekt-2.mp4,arkitekt 2,,
arkiv.mp4,arkiv,,
arm.mp4,arm,,
armbaand.mp4,armbånd,,
armbaandsur.mp4,armbåndsur,,
arne.mp4,Arne,,
arr.mp4,arr,,
arrangere-1.mp4,arrangere 1,,
arrangere-2.mp4,arrangere 2,,
arrangoer.mp4,arrangør,,
arrest.mp4,arrest,,
arrestere.mp4,arrestere,,
arrrogant.mp4,arrogant,,
artikkel.mp4,artikkel,,
artikulasjon.mp4,artikulasjon,,
artilleri.mp4,artilleri,,
arv.mp4,arv,,
arvelig.mp4,arvelig,,
arvemateriale.mp4,arvemateriale,,
arverett.mp4,arverett,,
asbjorn.mp4,Asbjørn,,
asfalt.mp4,asfalt 1,,
asfalt-1.mp4,asfalt 2,,
asfalt-3.mp4,asfalt 3,,
asfaltplate-2.mp4,asfaltplate,,
asia-1.mp4,Asia 1,,
asia-2.mp4,Asia 2,,
asjett.mp4,asjett,,
ask.mp4,ask (planteslekt),,
aske.mp4,aske,,
askeladden.mp4,Askeladden,,
askepott.mp4,Askepott ,,
asl-americansignlanguage.mp4,ASL (american sign language),,
asparges.mp4,asparges,,
assistent.mp4,assistent,,
assistere.mp4,assistere,,
assuranse-forsikring.mp4,assuranse (forsikring),,
asteroide.mp4,asteroide,,
astma.mp4,astma,,
astmaanfall.mp4,astmaanfall,,
astrid.mp4,Astrid 1,,
astrid-2.mp4,Astrid 2,,
astrologi.mp4,astrologi,,
astronaut.mp4,astronaut,,
at.mp4,at,,
ateist.mp4,ateist,,
athen.mp4,Athen,,
atmosfaeren.mp4,atmosfære,,
atmosfaere-2.mp4,atmosfære (stemning),,
atom-1.mp4,atom 1,,
atom-2.mp4,atom 2,,
atom.mp4,atom 3,,
atom-4.mp4,atom 4,,
atom-5.mp4,atom 5,,
atom-6.mp4,atom 6,,
atombombe.mp4,atombombe,,
atomkraft.mp4,atomkraft,,
attest-1.mp4,attest 1,,
attest-2.mp4,attest 2,,
attest-3.mp4,attest 3,,
attfoering.mp4,attføring,,
au-vondt-i-oeret.mp4,au (vondt i øret),,
aubergin.mp4,aubergine,,
aud.mp4,Aud,,
audi-1.mp4,Audi 1,,
audi-2.mp4,Audi 2,,
audiograf.mp4,audiograf,,
audiogram.mp4,audiogram,,
audiologi.mp4,audiologi,,
audiopedagog.mp4,audiopedagog,,
audisme.mp4,audisme,,
august.mp4,august,,
auksjon.mp4,auksjon,,
aust-agder.mp4,Aust-Agder,,
australia-1.mp4,Australia 1,,
australia-2.mp4,Australia 2,,
australia-3.mp4,Australia 3,,
autisme.mp4,autisme,,
automat-1.mp4,automat 1,,
automat-2.mp4,automat 2,,
automat-gir.mp4,automatgir,,
automatisk-2.mp4,automatisk 1,,
automatisk.mp4,automatisk 2,,
autoritet.mp4,autoritet,,
av-slaa-av-feks-hoereapparat.mp4,"av (slå av, f.eks. høreapparat)",,
avanse-fortjeneste.mp4,avanse (fortjeneste),,
avatar-hinduismen-1.mp4,avatar (hinduismen) 1,,
avatar-hinduismen-2.mp4,avatar (hinduismen) 2,,
avbalansering-dekk.mp4,avbalansering (dekk),,
avbestille-ing-1.mp4,avbestille/-ing 1,,
avbestille-ing-2.mp4,avbestille/-ing 2,,
avbetaling.mp4,avbetaling,,
avbitertang-1.mp4,avbitertang (verktøy) 1,,
avbitertang-2.mp4,avbitertang (verktøy) 2,,
avbitertang-3.mp4,avbitertang (verktøy) 3,,
avbryte.mp4,avbryte,,
avdeling-1.mp4,avdeling 1,,
avdeling-2.mp4,avdeling 2,,
avdeling-3.mp4,avdeling 3,,
avdrag.mp4,avdrag,,
avfoering.mp4,avføring,,
avgangselever.mp4,avgangselever,,
avgift.mp4,avgift,,
avgjoere.mp4,avgjøre,,
avgjoerelse.mp4,avgjørelse,,
avhandling.mp4,avhandling ,,
avhengig.mp4,avhengig,,
