Gloss,Signwriting,modified
"matematikk, tysk ts",M543x601S33b00466x482S14c00514x548S34c00498x482S23604504x584S23614452x583S22130506x538S22130507x533S22130458x537S22130458x532S2fb04490x573S14c08461x546,"matematikk, tysk ts"
aluminium,M517x542S1f720484x457S22a04491x476S10049482x512S10041496x512S20b00492x496,aluminium
rektangel,M587x514S1ee28473x492S1ee20503x491S26506537x498S26512448x498S1f428412x499S1f420558x498S22104427x486S22104559x485,rektangel
kraft,M507x525S20300492x485S37700499x500S2f900494x474,kraft
lover,M517x523S15a20491x496S15a12483x477S20500507x497S20500507x512,lover
electron asl,M519x525S14a18481x500S2e800504x493S14a10503x474,electron asl
fluks,M532x549S14c36469x504S14c1c491x474S22a04497x451S21000512x512S22a04499x534,fluks
s munn,M518x517S36100482x482,s munn
atomkjerne,M533x547S19205467x468S1f720513x454S15a48474x502S14210489x502S2b700493x465S22a04490x483S20500487x536,atomkjerne
stolt,M547x541S33200482x488S20e00527x501S2b701528x474S1f540526x517S30304482x477,stolt
arm for en kraft,M521x537S20330506x474S20500508x489S20500508x517S2f900508x463S37900512x489S1eb48480x518,arm for en kraft
tolke,M525x533S15a36495x480S15a50488x467S20500475x496S20500515x496S2a400488x497,tolke
seng,M534x539S15a40522x461S15a48470x461S26604518x497S26614467x496S2fb04493x533,seng
hjørne vinkel,M540x532S1dc28460x489S10041519x502S23b0a480x488S21100478x468,hjørne vinkel
anode,M519x534S1f720480x466S10014484x504S22e04502x485,anode
hodepute,M514x506S15a22487x494,hodepute
begrep,M581x517S30007482x482S20300516x474S22b03537x450S14c20558x424S20500500x468,begrep
navn,M523x549S30004482x482S11500489x519S20500513x517,navn
brytning,M533x528S10011500x498S1001a467x496S20500494x481S2f900494x472S2880b513x484,brytning
oslo,M544x541S34400468x477S34400496x478S36a00496x477S1f510508x526S26504530x511,oslo
"tegnspråk, flytende",M518x599S15a10459x534S15a18444x529S21100450x571S2e800467x567S2ff00482x482,"tegnspråk, flytende"
analysere,M533x517S11912508x499S1191a467x500S21800474x483S21800508x484,analysere
mindre,M553x523S15a19469x500S15a11506x500S22b15447x477S22b03529x479,mindre
steke,M516x515S15a30504x485S26a02485x488,steke
hvit,M531x552S36a00482x477S10001510x518S21100494x527S22a03483x538,hvit
president,M549x542S36d00479x459S1ef17523x512S22b05496x485S21100483x474,president
elektron,M523x526S19205476x492S2e800508x494S14a10507x473,elektron
svanger,M535x528S36d00479x473S14c04488x497S26500521x495,svanger
forskning,M533x539S11912508x477S1191a467x478S21800474x461S21800508x462S22b04512x501S22b14474x500S2fb04493x533,forskning
kristin,M561x563S1c500531x532S31400482x482S33e00482x482S20e00516x542S26a02500x536,kristin
arkimedes' lov,M550x586S34900482x488S31a00482x487S30100482x477S1dc21517x487S22100518x473S15a18490x559S15a50508x559S20500523x552S28a0c533x514,arkimedes' lov
trekant,M541x541S2411a460x470S24102502x469S20500496x460S10058482x510S10050504x511,trekant
parallelle plan,M542x527S15a50530x500S15a58505x472S26702481x509S26712457x477S2fb03458x506,parallelle plan
befolkning,M525x546S15a20511x484S2ff00482x482S21100511x514S22a04512x531,befolkning
from,M518x557S15a10500x530S15a18487x530S30104482x477,from
diminutiv munn,M518x517S35b04482x482,diminutiv munn
hei til v,M567x533S33e00483x482S14c20525x492S26507554x485S32401482x482S36d01479x522,hei til v
u,M525x515S1dc28475x485S1dc20501x485,u
kjemi,M534x539S1ce48465x465S1ce40512x462S2a200508x498S2a218467x500S2fd04488x533,kjemi
