Gloss,Signwriting,modified
meklingsman,M557x534S10a10477x468S10a18443x468S26c02476x498S26c12444x498S2fb04460x528S1ed26538x467S22a04539x497,meklingsman
moral,M527x543S36d00479x457S15a40512x466S15a48475x466S21100512x496S21100474x496S22b04511x513S22b14473x512,moral
puddelpedia,M525x516S15a18475x484S11801491x491S2ea04510x486,puddelpedia
hvordan,M546x561S19a48491x541S19a40484x526S20600524x538S30c00482x482S34610494x500,hvordan
leksjoner,M543x517S30000482x482S18500519x486S26a03508x463,leksjoner
video,M528x533S11550505x467S11558479x467S2ea36503x505S2ea46472x505S2fb04494x527,video
signtext,M519x528S15a08481x472S1eb20495x478S24804501x500,signtext
litteratur,M544x526S15a10478x474S15a18463x474S2df1c455x504S2df04477x504S26706498x480S2df04523x505S2df04500x504,litteratur
absolutt,M517x516S20310488x484S20308483x501S20b00504x498,absolutt
nysgjerrig,M546x518S33100482x483S1ee10520x491S26700494x433S1f410502x425,nysgjerrig
nysgjerrig,M546x518S33100482x483S1ee10520x491S26700494x433S1f410502x425S22104511x467S22104511x452,nysgjerrig
nysgjerrig,M528x518S33100482x483S22104494x413S26700491x434S1f410499x426S2fb02482x420,nysgjerrig
narlingsliv,M579x540S14c01450x495S14c09422x495S28804452x518S2881c435x517S14c10555x501S14c18522x501S24d08555x461S24d10521x462,narlingsliv
sms,M511x516S16d30493x485S21800488x508,sms
cd rom,M518x533S15a16491x521S1dc23481x497S2e008492x467,cd rom
dvd,M518x515S10119500x487S10111482x486,dvd
algebra,M581x559S15020535x460S36d00479x474S22520536x441S26506566x465S11508483x503S11500506x509S23108506x542S23118475x537S22b03547x494,algebra
arkimedes' lov,M526x555S15d22498x446S15d0a499x458S20700473x454S15a18488x512S15a40504x512S20500496x544,arkimedes' lov
nysgjerrig,,nysgjerrig
x aksen,M549x520S1dc28450x481S10002471x505S20e00474x487S26706507x495,x aksen
organisasjon,M549x537S18518451x522S18510524x522S22a02501x475S22a16482x475S22a02516x488S22a02526x501S22a16470x488S22a16458x502S2fb00491x463,organisasjon
pneumatikk,M552x533S15a16407x521S20312412x503S2f900415x495S2ff00482x483S15a02524x501S26a04525x519,pneumatikk
dvd,M521x520S10111479x480S10119503x482S37b03494x506S37b0b493x508,dvd
te,M568x540S33b00482x482S1ea10515x511S2c304541x516,te
bytte,M521x535S10e30478x466S10e50479x505S2a200498x485,bytte
vodka,M547x536S36a00482x477S15d54528x509S20b00511x509,vodka
vodka,M574x537S36a00482x477S15d54514x510S20b00541x512S26502559x512,vodka
konjakk,M517x523S2eb0a485x508S12233483x477,konjakk
konjakk,M518x570S2eb0a486x555S12233484x524S33100482x482,konjakk
bra du?,M534x548S26500518x522S30a00482x482S34900482x482S10030519x490S15d00494x521,bra du
cd rom,M524x533S15a16485x521S1dc23475x497S2e008486x467S20500502x507S2f900513x509,cd rom
til høyre,M543x547S32407482x482S10047513x526,til høyre
prinsipp,M519x524S15a18481x476S10011496x494S20600497x479,prinsipp
"der, til venstre!",M518x568S10041496x528S2f900502x563S32401482x482,"der, til venstre!"
"der, til venstre",M518x558S10041496x528S32401482x482,"der, til venstre"
dine,M514x527S15a20492x473S2f900492x505S26a00487x513,dine
eller,M531x523S1dc09482x493S20e00470x487S20e00498x478S10041510x492,eller
"felt, kraftfelt, horisontalt",M537x532S14c40513x500S14c48463x501S26500518x468S26510468x467,"felt, kraftfelt, horisontalt"
fin,M568x542S33e00482x482S1ce10530x512S26506553x526,fin
fingerbokstavering,M589x553S15020526x522S22520522x503S26606559x527S2ff00482x482,fingerbokstavering
flau,M545x529S30103482x477S28902497x504S18217528x504S31b00482x488,flau
odd,M539x522S2ff00482x482S26602469x500S20e00501x502S18210516x507,odd
otto,M539x530S2ff00482x482S18210516x507S20e00501x502S26a02488x503,otto
kontrollere,M542x526S15a48457x474S1f550472x482S20500471x506S2f900471x521S2c400502x474,kontrollere
friste,M520x519S10a37479x491S21800502x481,friste
helg,M514x523S15a02487x477S22a04496x508S21100497x492,helg
herre,M558x522S36d00479x479S20e00504x507S15d40523x495S28808546x496,herre
pumpe   1,M513x517S20350493x483S22f04488x503,pumpe   1
i,M525x509S19211499x490S26502474x493,i
muslim,M557x632S15a30450x561S15a30542x561S30104484x477S37100479x533S22b04541x602S22b14448x599S2fb04490x626S37150471x533S35300484x488,muslim
ja,M514x526S19a10486x475S2df00486x505,ja
jul,M536x527S10019464x473S10011493x474S25105511x501,jul
ja,M511x529S19240488x472S2a20c488x501,ja
"ja, ja",M511x530S19240488x470S2a50c490x497,"ja, ja"
s38702496x463 0x0 s38702496x463,,s38702496x463 0x0 s38702496x463
kontakt,M505x505S20500495x494,kontakt
kristin,M554x563S26a02500x536S31400482x482S33e00482x482S20e00516x542S1c200531x534,kristin
kule,M523x532S2a20a502x503S2a212477x503S15528481x468S15520507x469,kule
bror,M517x523S10058482x493S10050502x493S20500493x477,bror
søster,M517x524S10058482x494S10050502x494S20600489x476,søster
bety,M517x524S10058482x494S10050502x494S20600489x476,bety
1,M507x521S10000492x479S2f900493x516,1
2,M507x515S10e00492x485,2
3,M511x515S11e00488x485,3
8,M529x553S34900482x482S11e00506x523,8
3,M536x551S11e00513x521S34a00482x483,3
3,M509x515S18600491x485,3
4,M511x516S14400489x485,4
5,M511x515S14c00488x484,5
6,M507x512S1f502492x488,6
7,M511x515S1dc01488x485,7
9,M535x549S33100482x482S14410509x518S20500495x498S26500521x502,9
9,M510x515S18e00490x485,9
9,M511x527S14410489x496S26500491x474,9
10,M528x514S10002472x499S22e03509x486,10
10,M525x515S14c08474x484S14c00502x484,10
10,M515x517S10002485x502S21600486x486S26506498x483,10
10,M527x510S26506512x496S21600472x491S10602484x491,10
retning,M531x530S21100492x494S15a41508x507S15a37476x480S26601469x470,retning
11,M511x532S1f540492x468S2a308488x496,11
12,M508x526S10e50493x474S22e04491x508,12
11,M508x527S10050492x472S22e04491x509,11
13,M509x528S18650491x473S22e04491x510,13
tretten,M532x574S11e50508x523S22e04515x556S34a00482x483,tretten
18,M518x576S11e50487x525S22e04494x558S34c00482x483,18
18,M511x527S11e50488x474S22e04494x509,18
19,M519x529S14410481x471S2a204496x501,19
19,M546x574S14410508x516S2a204523x546S33200482x482,19
14,M511x527S14450489x473S22e04489x509,14
15,M512x528S14c50488x473S22e04492x510,15
16,M508x524S1f540491x476S22e04491x506,16
17,M513x526S1dc50488x474S22e04496x508,17
20,M518x509S11802491x494S21600482x491,20
20,M535x508S10e02465x493S11802508x492,20
30,M517x518S18602484x500S21600483x484S26506502x481,30
80,M517x519S26506502x480S21600483x483S11e02484x496,80
80,M521x563S26506506x524S21600487x527S11e02488x540S34900482x482,80
30,M521x563S26506506x524S21600487x527S11e02488x540S34700482x482,30
40,M519x521S26506504x478S21600485x481S14402481x499,40
50,M515x521S26506500x479S21600485x482S14c02484x498,50
60,M515x519S26506500x480S21600485x483S1f502489x495,60
70,M518x519S26506503x480S21600488x483S1dc02482x495,70
90,M530x563S33200482x482S14402499x541S28805499x519S21600492x536,90
90,M517x520S18e02482x500S21600482x483S26506502x480,90
200,M507x524S10e40492x494S26500493x475,200
300,M509x526S18640491x496S26500494x474,300
400,M511x528S14440489x497S26500491x473,400
500,M512x528S14c40488x497S26500493x473,500
600,M507x523S1f540492x499S26500492x476,600
700,M512x527S1dc40488x497S26500489x473,700
800,M511x525S11e40488x495S26500489x475,800
800,M518x581S11e40494x551S26500495x531S34900482x482,800
300,M518x577S11e40495x547S26500496x527S34700482x482,300
900,M558x545S14410513x514S2d200532x495S33200482x482,900
900,M510x527S18e40490x497S26500490x474,900
100,M508x539S10000492x460S17610492x504S22a04493x524,100
hundre,M508x519S17610492x482S22a04493x504,hundre
200,M508x539S17610492x502S22a04493x524S10e00492x460,200
2000,M543x515S17610490x499S10e00457x485S26606513x499,2000
2001,M555x516S17610477x497S10e00444x483S26606500x497S10000540x486,2001
21,M533x515S10000518x485S11802476x500S21600467x494,21
22,M532x522S10e01468x492S21600477x479S22a05490x490S10e00517x487,22
retningsventil,M570x529S21100452x494S15a41465x506S15a37436x481S26601430x472S10011549x494S1001a517x514S20500540x499S22130538x481,retningsventil
skyvebevegelsar,M555x530S15a48465x477S20310481x487S26522445x486S26c0a538x503S10000540x471,skyvebevegelsar
25,M533x522S10e01467x492S21600476x479S22a05489x490S14c00510x481,25
26,M534x522S10e01465x492S21600474x479S22a05487x490S1f502519x495,26
27,M540x522S10e01460x492S21600469x479S22a05482x490S1dc01517x488,27
28,M541x522S10e01459x492S21600468x479S22a05481x490S11e00518x488,28
29,M537x528S10e01463x498S21600472x485S22a05485x496S14410515x494S26500518x471,29
31,M535x524S18601473x487S21600464x478S22a05497x510S10000520x477,31
31,M536x518S18602464x500S21600463x484S26506482x481S10000521x485,31
32,M539x518S18602462x500S21600461x484S26506480x481S10e00524x485,32
33,M540x518S18602460x500S21600459x484S26506478x481S18600522x485,33
34,M537x518S18602463x500S21600462x484S26506481x481S14400515x481,34
35,M540x519S18602461x501S21600460x485S26506479x482S14c00517x481,35
37,M545x519S18602456x500S21600455x484S26506474x481S1dc01522x489,37
38,M542x518S18602458x500S21600457x484S26506476x481S11e00519x485,38
39,M538x528S18602463x510S21600462x494S26506481x491S14410516x495S26500518x472,39
36,M541x518S18602460x500S21600459x484S26506478x481S1f502526x492,36
a,M510x507S1f720490x492,a
b,M507x511S14720493x489,b
c,M513x509S1ed10487x490,c
c,M510x510S16c10490x489,c
d,M508x515S10120492x485,d
bjørn,M539x533S15050509x466S15058460x467S26a04512x512S26a14461x511S2fd04488x527,bjørn
mor,M532x517S33100482x482S10012502x502,mor
mamma,M544x517S33100482x482S10012502x502S20600522x485,mamma
far,M551x533S33b00482x482S10012502x511S21100496x519S26506536x509,far
pappa,M551x534S33b00482x482S10012502x511S21100496x519S26a06537x507,pappa
nå smil,M518x567S33e00482x482S31400482x482S10004496x537,nå smil
slaglengde,M586x523S15a18434x486S20310449x497S26522414x495S10010543x477S10018523x477S26712496x507S26706544x507,slaglengde
gull,M551x539S33e00482x482S24e00530x472S10e00534x509,gull
gullhår,M576x543S36b00481x482S29604522x509S20e00521x492S1c511512x460S31400482x482S11e00553x465S33e10491x505S24e00549x502,gullhår
pluss,M517x515S1000a483x493S10020502x485,pluss
de tre,M551x574S11e00528x510S32407482x482S26a02529x547,de tre
bo,M531x531S30107482x477S15a17508x508,bo
unge,M548x515S15a48468x485S15a40520x485S26a02534x487S26a16452x488,unge
barn til høyre,M536x565S33e00482x482S15a50524x524S2f900524x560S32105482x482,barn til høyre
koke,M533x531S10018479x469S10010506x474S23118467x513S23108507x514,koke
varm!,M537x543S34b00482x482S15002484x518S26506522x525S2f700524x511,varm!
varm,M533x546S33b00482x482S15002480x521S26506518x528,varm
varmt,M570x517S14c02521x479S26506555x483S30000482x482,varmt
de 3,M553x571S11e00530x506S32405482x482S26a02531x544,de
stopp,M507x528S15a20495x471S2f900495x504S26500493x513,stopp
vente,M513x524S15a20491x476S26a00486x510,vente
vente,M518x514S22114492x486S18200481x499,vente
vi tre,M519x525S11e31494x476S2e806481x510,vi tre
legge armen rundt,M533x572S31400482x482S33e00482x482S37801524x517S37806498x549S17102477x547S22a04518x557,legge armen rundt
labbe h,M555x547S14c59445x511S14c57488x520S26717484x468S26707524x481S22a04524x515S22a14487x496S22a04540x499S22a14502x483S2fd07524x452,labbe h
snu opp   ned,M549x517S1001e469x502S1001a451x484S2b714515x492S2c601530x489,snu opp   ned
person fra v,M534x530S10018466x500S26517489x500S26517505x485S26517521x470,person fra v
snu   og   velte,M616x534S1001e404x490S1001a384x479S2b714441x481S2c601457x479S17112510x471S17116511x482S20800536x481S2a200593x499S2a210560x499S2fb04581x528S15a10601x467S15a18568x467,snu   og   velte
stempel,M514x521S16d48486x480S20300494x488S23108488x504,stempel
gå se seg om,M549x601S30142482x476S15d50515x549S15d58471x546S23600510x584S23614458x582,gå se seg om
"skuldre, hode ovenfra, v",M521x521S2ff23479x479S2ff32482x484,"skuldre, hode ovenfra, v"
gå og se v,M547x589S23600508x572S23614457x572S15d50507x533S15d58473x534S33b00482x482S32402482x482,gå og se v
gå og se v2,M530x590S23600491x573S23614440x573S15d50490x534S15d58456x535S33b00482x482S32402482x482,gå og se v2
person fra h,M532x535S10010517x505S26501467x464S26501485x480S26501505x499,person fra h
de tre v,M522x571S11e00499x534S32401482x482S26a02478x544,de tre v
labbe v,M551x540S14c5f484x513S14c51524x493S26711451x478S26701488x460S22a04490x478S22a14449x498S22a04504x489S22a14464x511,labbe v
se der v,M518x523S32402482x482S10e00459x493S26602424x492,se der v
streik,M551x534S20700491x467S22b01501x486S22b17473x486S14c11525x507S14c19449x507,streik
nettopp,M527x554S35b05475x482S32105475x482S20500516x530S37000474x516S1820f496x529,nettopp
nikke,M551x560S20324505x537S23004526x542S30114482x477,nikke
norge,M520x523S11950479x497S24509491x477,norge
norge detaljert,M531x544S11950468x505S24509486x490S11950501x518S11520489x456S11520516x458,norge detaljert
o,M510x514S1d510489x485,o
o,M519x525S16c18481x488S16c10499x488S20500495x514S20500495x474,o
gruppe,M519x525S16c48481x488S16c40499x488S20500495x514S20500495x474,gruppe
o munn,M518x517S34400482x482,o munn
folk,M539x522S2ff00482x482S26602469x500S20e00501x502S18210516x507,folk
olje,M516x526S1dc01484x475S22e03497x507,olje
ordbok,M527x574S15a00484x537S20500473x535S20500472x549S1f017490x544S1f017504x426S15a00484x463S15a08498x463S2df04498x495S2df1c476x495,ordbok
ordliste,M528x532S15a00484x498S20500473x499S20500472x513S1f017502x468S2920c498x501S2f900517x499,ordliste
pike,M525x576S33e00482x482S20600501x543S15d12498x557,pike
rett vinkel,M534x523S1dc28466x478S10041513x493S23b0a487x477,rett vinkel
s,M514x513S1f410485x498S22104486x487,s
s,M519x524S19821500x497S19809481x495S20700499x475,s
s munn hånd norsk,M548x545S1f410519x530S22104520x519S36100482x482,s munn hånd norsk
sette seg,M521x535S20500493x482S11557479x508S11851490x495S22a04491x465,sette seg
streike,M551x534S20700491x467S22b01501x486S22b17473x486S14c11525x507S14c19449x507,streike
sirkel,M514x535S10050497x505S2e40b485x465,sirkel
jeg,M530x575S10043500x537S20500487x564S32d00482x483,jeg
streikevakt,M521x534S20700388x467S22b01398x486S22b17370x486S14c11422x507S14c19346x507S36d00479x491S37700480x496S10e02474x502,streikevakt
dit v,M518x557S32401482x482S10041476x527S26601449x514,dit v
hva,M546x552S14c02512x527S14c0a456x529S14c38454x448S14c30522x449S2b800515x489S2b810456x490,hva
strupeventil,M552x536S16d40448x478S16d48449x502S10011531x479S1001a498x499S20500522x486S22120450x466S22120450x529S22130511x465,strupeventil
svar bedrift,M606x523S1f502461x481S1f502439x482S26712394x489S26706482x491S14c01580x478S14c09551x478S28803577x503S2881b555x503,svar bedrift
jeg,M528x571S10043498x537S20500487x560S33e00482x482,jeg
gå,M545x529S15d50511x472S15d58467x474S23614455x512S23600506x512,gå
sylinder,M516x527S16d40498x507S16d48484x507S22b20492x473,sylinder
gå,M548x590S15d50514x533S15d58470x535S23610458x573S23604509x573S33e00482x482,gå
tariff   forhandlinger,M563x537S15a06437x510S20e00443x493S22b04442x507S1ed26442x464S2fb04526x530S26c02543x506S26c12508x506S10a10548x473S10a18501x474,tariff   forhandlinger
gå langsomt,M549x605S15d50515x529S15d58471x531S23614459x569S23600510x569S33e00482x482S2f804483x594,gå langsomt
smile,M547x537S31400482x482S33e00482x482S10019469x507S10011508x507S2881f457x493S28807521x489S21100451x514S21100534x510,smile
hett,M578x517S14c02519x483S26506497x487S20e00485x488S2ff00482x482S2c607555x485,hett
spise,M548x546S33b00482x482S1eb37506x519S26a04521x504,spise
stavanger,M519x520S31100482x482S20500483x482S20500509x483S10e10461x490S34c00482x482,stavanger
bodø,M519x520S31100482x482S20500483x482S20500509x483S10e10461x490S34400482x482,bodø
stolt,M569x523S33100482x488S2c300543x494S1f540523x495S30100482x477,stolt
stolt og glad,M547x535S33100482x482S20e00527x495S2b701528x468S1f540526x511S33e00482x482,stolt og glad
strømme,M525x525S14c13498x476S25103475x500,strømme
sverige,M520x537S15a56493x525S17d51483x499S20800480x526S20f00486x485S18551483x464,sverige
sy,M545x537S14c50500x506S14c58469x497S26600506x468S26600529x469S26610475x462S26610455x463,sy
større,M567x516S14c40521x485S14c48462x485S26506552x497S26512433x496,større
telle,M526x530S11e09478x484S10041505x500S20500475x477S20500499x471S20500508x490,telle
tid,M545x519S30006482x483S1ea10522x498S20500520x482,tid
u,M511x532S11520489x468S2a204488x504,u
u,M507x515S11520492x485,u
varmt!,M603x543S34b00482x482S15002484x518S26506522x525S2f700524x511S14c57577x502S2c301544x517,varmt!
veie,M531x528S15a30504x472S15a38478x473S23100505x509S23110469x511,veie
vente lenge,M549x547S32a10482x482S20320534x493S2eb34530x515S2f900536x482,vente lenge
w,M525x513S10e29474x488S10e21495x488,w
w munn,M518x517S36500482x482,w munn
øke,M572x531S14c48471x500S14c40504x500S22a07532x496S22a07545x484S22a11455x497S22a07559x471S22a11428x468S22a11442x483,øke
f,M511x515S1de20489x485,f
f,M517x516S11550502x486S1155a483x484,f
frelsesarmeen,M521x566S36a00482x477S20500481x524S20500511x523S11501473x537S11509462x539,frelsesarmeen
g,M518x516S20308498x501S20310503x484S20b00482x490,g
hende,M514x532S15a06487x482S10000486x502S22b00491x468,hende
dager,M531x532S15d0a476x512S15d02495x513S28909504x480S28911468x481S20e00494x507S28909499x468S28911475x467,dager
for lenge siden,M551x546S32406490x482S37403474x519S15a00537x486S26604535x516,for lenge siden
"augustus, keiser",M565x514S36d00479x486S1f700505x499S20c00537x498,"augustus, keiser"
"augustus, stavet",M614x533S1f720386x484S11520414x469S2a20c408x505S22104590x472S11520472x467S2a20c467x503S1f420496x483S22104501x471S1ea10533x477S11520565x468S2a20c561x504S1f420585x483S1e140438x473,"augustus, stavet"
befaling,M558x543S33b00482x483S10010515x512S10018473x513S26707527x476S26711446x477S2f900540x507S2f900457x510,befaling
alle,M558x535S14c57532x480S2d800469x465S20351443x487S3780b504x505,alle
må,M514x518S20350486x482S22a04486x503S2f900503x506,må
må,M514x518S20340486x482S22a04486x503S2f900503x506,må
skrive opp,M528x585S15d39483x536S1eb51501x544S27b0d486x560S32104482x482,skrive opp
liste,M524x546S15d08477x454S14c02491x490S20e00501x466S22522476x485S22b04508x516,liste
først,M526x523S1f50b474x490S10041505x493S20e00497x477,først
dengang,M551x552S32406490x488S37403474x525S15a00537x492S26604535x522S30106490x477,dengang
kvirinius,M612x532S14020387x469S10e20422x469S19220442x480S11a20466x470S19220486x480S11950509x472S19220535x480S11520562x468S2a20c557x504S1f410583x484S22104585x471,kvirinius
hode,M533x517S20500495x464S2ff00482x482S15a11510x472,hode
område,M532x519S14c51468x493S2d608503x481,område
sjef,M507x523S1f540492x499S22a00493x477,sjef
tariff,M514x537S15a06487x510S20e00493x493S22b04492x507S1ed26492x464,tariff
syre,M537x545S34b00482x482S15300522x509S2e300487x518,syre
"syria, stavet",M574x515S1f420426x497S22104430x487S1c520466x484S11a20506x484S19220530x495S1f720554x500,"syria, stavet"
ja,M550x575S30104482x477S19220529x521S2a20c525x547,ja
alle,M541x519S14c57515x492S2d600482x481S20351459x496,alle
reise,M518x526S11551481x501S26607496x475,reise
tilbakeslag,M526x526S15a02499x474S15a06475x514S26504495x486S20500494x502,tilbakeslag
stopp h,M549x517S2f900537x510S32407482x482S15d20530x476,stopp h
bli der,M518x518S2f900493x455S32400482x483S15d50486x422,bli der
"bli værende der, til venstre",M524x531S2f900463x484S32401488x483S15d51452x457S36d03476x520,"bli værende der, til venstre"
by,M512x520S15312487x480S22a04493x505,by
også,M528x528S11548472x473S11540513x474S22a04513x513S22a14476x511,også
også,M536x527S11548471x473S11540512x474S22f04511x513S22f14464x513,også
josef,M518x606S30004482x482S16d40491x524S25e04493x553S20340494x591,josef
på plass,M518x526S15d50481x474S22a04488x511S2f710506x512,på plass
ta på kappe,M544x589S32401482x482S14c0f459x505S14c07517x505S22c03483x529S22c15486x528S20340476x574S20348512x573,ta på kappe
der v,M521x582S32401482x482S36d03479x519S1002e442x529S26a12458x555,der v
galilea,M548x544S32401482x482S36d03479x519S1002e442x529S21b00525x471S1ed10522x484,galilea
galilea,M596x515S1e140403x489S1f720434x500S1dc20464x484S19220498x495S1dc20520x484S14a20553x498S1f720576x498,galilea
trykkanlegg,M594x532S15a16406x496S15a50488x472S15a50474x472S20312411x478S2f900413x469S2a210465x504S2a208486x504S2a208571x502S2a210544x501S26526520x512,trykkanlegg
null,M508x508S17610492x492,null
landsby,M550x547S15a11497x453S15a19471x453S15a19479x501S15a11504x501S22b05519x475S22b05526x523S22b13450x476S22b13458x521,landsby
nasaret,M599x516S11950400x490S1f720432x499S1f420458x500S22104463x488S1f720493x499S11a20523x484S14a20546x499S1f220569x496,nasaret
question,M524x538S2ff00482x483S14c01488x492S21a39466x470S22e03505x519,question
judea,M543x535S30005482x482S18207516x510S20e00524x487S22103523x501S22103534x510,judea
judea,M566x530S19220437x479S11520471x469S2a20c465x502S2a20c434x500S10120497x471S14a20521x486S1f720546x487,judea
betlehem,M533x569S14720512x526S34a00482x482S22f04508x555,betlehem
betlehem,M568x546S14720346x517S14a20369x523S1f220390x518S1dc20428x506S14a20465x521S33b00482x482S15a00494x519S26500509x520S14a20531x524S18d20548x513,betlehem
h,M525x546S15a00495x519S33b00482x482S26500511x521,h
ansvar,M560x556S2ff00482x483S36d00479x525S22f04535x542S21100539x520S1f710503x531,ansvar
pek h,M510x515S10057489x485,pek h
dra mot høyre,M560x572S10612493x557S1062a477x547S20700498x534S26626530x552S2f900532x567S32405482x482,dra mot høyre
a munn,M518x518S34c00482x483,a munn
ansatt person,M533x540S15a16468x512S20302472x495S20500474x479S22a04473x459S1ed56514x491S22a04515x525,ansatt person
ansvar,M540x556S2ff00480x482S22a04526x541S1f540502x532S21100527x520S36e20477x522,ansvar
david,M566x515S10120433x484S1f720459x498S10e20492x484S19220519x494S10120550x485,david
david,M543x539S30007482x483S1f503521x490S20e00510x473S2df0c521x518,david
slekt slekt,M529x522S11541485x495S11549471x495S20e00499x477S26a05508x486,slekt slekt
for lenge lenge lenge siden,M548x563S2ff20476x482S15a00532x456S26604531x489S26504533x525S26504534x548,for lenge lenge lenge siden
10,M527x509S10002473x492S22e04510x491,10
maria,M535x517S20310520x502S2ff00482x482S20500522x487,maria
disse to,M518x592S11500490x529S26c02492x565S32104482x482,disse to
kjæreste,M544x523S1f503500x495S1f50b476x495S20500492x477S26a02530x495S26a16456x496,kjæreste
gravid,M530x575S33910515x492S33b00474x482S14c04482x544S26500516x545,gravid
gravid,M532x591S26600516x545S14c04488x560S2ff00480x482S36d00479x522,gravid
pek h,M519x515S10057480x485S26507506x485,pek h
i ro der,M543x524S20350528x509S20358455x509S36f5c495x477S36d00479x494,i ro der
tiden går,M529x524S10002499x476S1000a472x482S2f000507x501S2f010478x504,tiden går
magen vokse,M549x580S32a00480x482S36d00479x522S14c04505x549S14c0c470x549S26600533x529S26610455x527,magen vokse
føde,M549x596S14c0c470x565S36d00479x525S14c04505x565S32e00481x482S2c601530x548S2c610451x545S20e00509x550S20e00477x551,føde
legge fram,M531x528S2c610468x473S2c601512x474S15d38476x502S15d30503x502,legge fram
legge fram,M532x587S15d31509x564S15d39469x564S26500511x532S26510481x532S32104482x482,legge fram
min,M512x516S15d01489x485S20500487x505,min
sønn,M539x521S30007482x483S18210516x485S20500510x469S22a04526x506,sønn
sønn,M545x526S30007482x483S22a04527x511S20500510x471S17c11518x481,sønn
først,M528x577S32103482x482S1f50a475x553S10002488x550S20e00478x537S26603506x520,først
svøpe,M537x581S15a06492x554S37806456x560S18511509x528S2eb00522x549S32104482x482,svøpe
legge ned i,M544x539S36f20479x461S36f28455x461S15d39475x505S15d37491x507S20500487x528S2b727503x482,legge ned i
krybbe,M543x517S15b28486x490S15b20500x490S22b03519x484S22b15457x484,krybbe
krybbe,M543x517S15b28486x490S15b20500x490S22b07519x484S22b11457x484,krybbe
fordi,M560x541S30006482x482S1dc40508x511S20e00523x490S2c607537x501,fordi
hotell,M519x538S15d49493x515S15a41481x477S37700499x499S20800484x509S27103492x462,hotell
se herberge,M565x556S15d49539x533S15a41527x495S37700545x517S20800530x527S27103538x480S32406476x482S36d01482x514,se herberge
fullt alle steder,M566x535S18250455x498S15a49440x509S26607484x466S26607515x467S26607544x469S26516471x521S26516502x521S26516535x521S20e00434x499,fullt alle steder
der ute,M584x526S15d20528x489S2c300558x503S32400482x483,der ute
rundt om,M534x521S14c57508x480S2d608471x479S2d60c466x508,rundt om
se,M541x533S31400482x482S10e00526x503S26500527x479,se
sau,M537x526S10e1e487x491S15a1a510x514S37806479x515S22714480x474S26a02464x484,sau
flokk,M559x515S1ea37519x485S1ea3f462x486S26a02545x488S26a16441x488,flokk
kveld,M540x551S28a03484x503S15a00528x488S15a02472x539S2ff00482x482,kveld
natt,M539x548S28a1b483x501S15a00527x486S15a0a494x536S2ff00482x482S15a00456x488S15a02475x536S28a03485x501,natt
stå på vakt,M527x541S36f0c473x478S20300488x459S20306490x510S20500493x530S20500489x484,stå på vakt
vokte,M548x574S32401451x482S32400482x481S32407512x483S10e57518x526S20304468x543S20500469x563S2d608482x522,vokte
absolutt,M513x530S15a36486x518S15a40491x470S20b00491x501,absolutt
100,M508x523S10050492x493S26500494x477,100
se der oppe,M538x570S34900480x482S1f540491x546S20e00500x534S2c607515x541S37100478x516S37150471x514S32107480x482,se der oppe
1000 000 000,M527x524S10000474x493S17610507x508S24b08505x476,1000 000 000
engel,M566x552S32104482x482S14c20529x495S14c28443x492S22e04549x523S22e14424x523S37700524x527S37700470x526S37702457x525S3770a526x526,engel
komme fra gud,M554x523S10000530x444S28a0c537x484S30304482x477,komme fra gud
z,M520x520S10050481x490S2450a489x480,z
fin,M562x550S1ce28467x520S1ce20511x520S28807542x523S2881f439x523S31a00482x483,fin
herlighet,M586x567S17618476x551S17610502x551S14c0f425x496S14c07545x496S22b07518x524S22b11454x525S2890c571x519S28914409x515S32107482x482,herlighet
redd,M532x522S15308475x478S15300511x478S20600467x510S20600510x511,redd
forskrekket,M524x541S15308473x478S15300509x478S22a00511x508S22a10474x508S21100474x526S21100510x527S2f700493x516S36e00477x460,forskrekket
forferdet,M524x602S15308473x539S15300509x539S22a00511x569S22a10474x569S21100474x587S21100510x588S2f700493x577S30300482x477,forferdet
falle om,M535x554S10004520x448S10003502x532S1000c465x446S1000d466x524S2960c516x489S2961c469x484,falle om
men,M533x509S1000a466x491S10002503x491S20500496x498,men
si vennlig mot venstre,M518x555S33e00482x483S10010486x525S26601466x508S32103482x483,si vennlig mot venstre
nei vennlig,M523x565S33e00482x483S10010486x525S32103482x483S26c02508x538,nei vennlig
frykt ikke,M532x579S15308475x535S15300511x535S20600467x567S20600510x568S30122482x476,frykt ikke
kommer fra gud jeg,M550x561S10000535x438S22c03496x483S10043464x527S20500450x550,kommer fra gud jeg
budskap,M558x543S33e00482x483S10010515x512S10018473x513S26707527x476S26711446x477,budskap
dere,M520x521S10051480x500S2d608491x480,dere
æ,M513x516S15020488x485,æ
glede,M569x574S14c03510x534S14c0b458x533S20e00478x562S20e00504x562S22c11426x500S22c07536x502S33e00482x482,glede
glede,M565x579S14c03511x535S14c0b458x533S20f00471x567S20f00506x565S33e00482x482S22a07530x517S22a11458x513S22b07541x513S22b11434x509,glede
glede,M566x579S14c03511x535S14c0b458x533S20f00471x567S20f00506x565S33e00482x482S2eb07542x533S2eb11435x535,glede
overalt,M548x567S32402451x484S32400482x482S32406512x482S14c52441x543S2d608485x539,overalt
idag,M518x595S32104482x482S10004491x538S22f04484x581,idag
her,M518x592S32104482x482S10004491x538S22a04492x577,her
o,M508x508S17620492x492,o
