id,term,signwriting,description,cue
107,elektron,M523x526S19205476x492S2e800508x494S14a10507x473,elementærpartikkel som går rundt atomkjernen,elektron
108,svanger,M535x528S36d00479x473S14c04488x497S26500521x495,,svanger
108,gravid,M535x528S36d00479x473S14c04488x497S26500521x495,,gravid
109,forskning,M533x539S11912508x477S1191a467x478S21800474x461S21800508x462S22b04512x501S22b14474x500S2fb04493x533,,forskning
110,profet,M518x576S2ff00482x483S22b04493x525S15a02488x510S17610493x560,,profet
111,Kristin,M561x563S1c500531x532S31400482x482S33e00482x482S20e00516x542S26a02500x536,"personnavn, kvinne",kristin
113,trekant,M541x541S2411a460x470S24102502x469S20500496x460S10058482x510S10050504x511,figur med tre sider. Vanlig tegn,trekant
116,andakt,M518x557S15a10500x530S15a18487x530S30104482x477,,andakt
119,U,M525x515S1dc28475x485S1dc20501x485,"tohåndsalfabetes u, brukes fast som forstavelse, betyr 'ikke'",u
120,kjemi,M534x539S1ce48465x465S1ce40512x462S2a200508x498S2a218467x500S2fd04488x533,,kjemi
120,apotek,M534x539S1ce48465x465S1ce40512x462S2a200508x498S2a218467x500S2fd04488x533,,apotek
122,flagg,M537x530S15a02462x482S16d48490x510S37902489x490S20a00514x512S27200497x469,,flagg
124,buddhist,M527x611S15a10497x545S15a18483x545S20500492x576S36f04473x529S30104477x477S22a24490x596,,buddhist
124,buddhisme,M527x611S15a10497x545S15a18483x545S20500492x576S36f04473x529S30104477x477S22a24490x596,,buddhisme
126,heldigvis,M524x610S37202476x528S33500476x482S15a12483x560S21100491x577S22a04491x595,,heldigvis
128,barometer,M519x543S15a36483x484S20350485x474S2f920487x458S10011482x513S2880a497x511,,barometer
131,gravid,M535x528S36d00479x473S14c04488x497S26500521x495,,gravid
132,Sverige,M532x534S17d11478x494S22f07507x466S37806468x520S2fb01488x468S15a1a505x516S20e00501x481S22105477x485S20800479x524,,sverige
133,bane,M538x532S10041517x502S2d600462x468S26735490x476,,bane
135,jernbanestasjon,M513x541S11030486x514S26600489x478S15a36486x459S20500491x460,,jernbanestasjon
