id,term,signwriting,description,cue
901,h,M525x546S15a00495x519S33b00482x482S26500511x521,"norsk 
Brukes med énhånds og tohånds",h
901,H,M525x546S15a00495x519S33b00482x482S26500511x521,"norsk 
Brukes med énhånds og tohånds",h
902,ansvar,M560x556S2ff00482x483S36d00479x525S22f04535x542S21100539x520S1f710503x531,,ansvar
907,ansvar,M540x556S2ff00480x482S22a04526x541S1f540502x532S21100527x520S36e20477x522,,ansvar
907,byrde,M540x556S2ff00480x482S22a04526x541S1f540502x532S21100527x520S36e20477x522,,byrde
912,10,M527x509S10002473x492S22e04510x491,,10
912,ti,M527x509S10002473x492S22e04510x491,,ti
915,forlovet,M544x523S1f503500x495S1f50b476x495S20500492x477S26a02530x495S26a16456x496,,forlovet
916,gravid,M530x575S33910515x492S33b00474x482S14c04482x544S26500516x545,,gravid
917,gravid,M532x591S26600516x545S14c04488x560S2ff00480x482S36d00479x522,,gravid
917,svanger,M532x591S26600516x545S14c04488x560S2ff00480x482S36d00479x522,,svanger
925,min,M512x516S15d01489x485S20500487x505,samsvarbøyd: håndflate mot den som har/eier,min
925,mitt,M512x516S15d01489x485S20500487x505,samsvarbøyd: håndflate mot den som har/eier,mitt
931,krybbe,M543x517S15b28486x490S15b20500x490S22b03519x484S22b15457x484,,krybbe
932,krybbe,M543x517S15b28486x490S15b20500x490S22b07519x484S22b11457x484,,krybbe
933,fordi,M560x541S30006482x482S1dc40508x511S20e00523x490S2c607537x501,,fordi
934,hotell,M519x538S15d49493x515S15a41481x477S37700499x499S20800484x509S27103492x462,,hotell
939,se,M541x533S31400482x482S10e00526x503S26500527x479,,se
940,sau,M537x526S10e1e487x491S15a1a510x514S37806479x515S22714480x474S26a02464x484,,sau
940,ull,M537x526S10e1e487x491S15a1a510x514S37806479x515S22714480x474S26a02464x484,,ull
941,flokk,M559x515S1ea37519x485S1ea3f462x486S26a02545x488S26a16441x488,,flokk
943,kveld,M540x551S28a03484x503S15a00528x488S15a02472x539S2ff00482x482,,kveld
943,natt,M540x551S28a03484x503S15a00528x488S15a02472x539S2ff00482x482,,natt
944,natt,M539x548S28a1b483x501S15a00527x486S15a0a494x536S2ff00482x482S15a00456x488S15a02475x536S28a03485x501,,natt
947,absolutt,M513x530S15a36486x518S15a40491x470S20b00491x501,,absolutt
947,akkurat,M513x530S15a36486x518S15a40491x470S20b00491x501,,akkurat
948,100,M508x523S10050492x493S26500494x477,,100
951,engel,M566x552S32104482x482S14c20529x495S14c28443x492S22e04549x523S22e14424x523S37700524x527S37700470x526S37702457x525S3770a526x526,,engel
953,Z,M520x520S10050481x490S2450a489x480,norsk og internasjonal énhånds,z
953,z,M520x520S10050481x490S2450a489x480,norsk og internasjonal énhånds,z
954,fin,M562x550S1ce28467x520S1ce20511x520S28807542x523S2881f439x523S31a00482x483,"fin duk, fine gardiner, fint stoff, fint pyntet, ...",fin
955,herlighet,M586x567S17618476x551S17610502x551S14c0f425x496S14c07545x496S22b07518x524S22b11454x525S2890c571x519S28914409x515S32107482x482,,herlighet
956,redd,M532x522S15308475x478S15300511x478S20600467x510S20600510x511,,redd
957,forskrekket,M524x541S15308473x478S15300509x478S22a00511x508S22a10474x508S21100474x526S21100510x527S2f700493x516S36e00477x460,,forskrekket
960,men,M533x509S1000a466x491S10002503x491S20500496x498,,men
965,budskap,M558x543S33e00482x483S10010515x512S10018473x513S26707527x476S26711446x477,,budskap
965,evangelium,M558x543S33e00482x483S10010515x512S10018473x513S26707527x476S26711446x477,,evangelium
966,dere,M520x521S10051480x500S2d608491x480,,dere
968,glede,M569x574S14c03510x534S14c0b458x533S20e00478x562S20e00504x562S22c11426x500S22c07536x502S33e00482x482,,glede
968,lykke,M569x574S14c03510x534S14c0b458x533S20e00478x562S20e00504x562S22c11426x500S22c07536x502S33e00482x482,,lykke
968,glad,M569x574S14c03510x534S14c0b458x533S20e00478x562S20e00504x562S22c11426x500S22c07536x502S33e00482x482,,glad
969,glede,M565x579S14c03511x535S14c0b458x533S20f00471x567S20f00506x565S33e00482x482S22a07530x517S22a11458x513S22b07541x513S22b11434x509,,glede
969,glad,M565x579S14c03511x535S14c0b458x533S20f00471x567S20f00506x565S33e00482x482S22a07530x517S22a11458x513S22b07541x513S22b11434x509,,glad
970,glede,M566x579S14c03511x535S14c0b458x533S20f00471x567S20f00506x565S33e00482x482S2eb07542x533S2eb11435x535,alternativ skrivemåte,glede
972,her,M518x595S32104482x482S10004491x538S22f04484x581,,her
973,her,M518x592S32104482x482S10004491x538S22a04492x577,,her
974,O,M508x508S17620492x492,internasjonal énhånds,o
974,o,M508x508S17620492x492,internasjonal énhånds,o
977,normal,M514x530S15a36487x518S15a40492x470S22a04491x500,,normal
978,hytte,M525x520S15a11502x496S15a19474x497S20600490x480,,hytte
978,stall,M525x520S15a11502x496S15a19474x497S20600490x480,,stall
978,hus,M525x520S15a11502x496S15a19474x497S20600490x480,,hus
980,nikke,M518x523S30114482x477,,nikke
983,Jesus,M527x540S1c518472x509S15a18480x460S20500497x482S1c510497x460S15a10506x507S20500493x529,,jesus
983,Kristus,M527x540S1c518472x509S15a18480x460S20500497x482S1c510497x460S15a10506x507S20500493x529,,kristus
984,y,M515x514S1c550485x486,"håndalfabet, norsk enhånds",y
984,Y,M515x514S1c550485x486,"håndalfabet, norsk enhånds",y
986,Herren,M552x520S10010532x490S22b00536x448S32100482x483,om Gud,herren
987,bevis,M514x546S15a36487x515S10e30485x516S20b00488x491S22b04486x454,,bevis
987,vitne,M514x546S15a36487x515S10e30485x516S20b00488x491S22b04486x454,,vitne
988,med,M512x514S15a37487x486S15a51489x491,,med
989,Fauske,M531x552S2ff00482x483S20e00515x514S26900515x534S1f540493x521,,fauske
992,Finnmark,M530x542S30004482x483S10000487x512S20600508x516,,finnmark
993,synge,M530x618S34900482x482S10050515x536S10058473x539S28a26482x577S28a2e477x601,,synge
995,Gud,M547x518S10010532x462S32100482x483S22a00529x447,,gud
996,baby,M538x540S15a1e467x465S15a16510x475S37806480x481S37706494x471S20500528x460S20500462x480S26622480x496S26626501x507S2f804477x529,,baby
997,banke,M528x514S11000472x485S26b00501x496,,banke
998,begrep,M567x520S30007482x483S20318552x436S28107528x460S10011520x490,,begrep
999,bensin,M524x522S1dc10500x478S2c300475x499,,bensin
999,olje,M524x522S1dc10500x478S2c300475x499,,olje
1000,beregne,M529x540S22b04475x510S15a00476x462S22520497x475S20f00501x461S14c20471x474,,beregne
1001,bevis,M513x542S15a36486x520S22b04487x459S20b00489x496S15a30487x515,,bevis
1003,bolle,M552x521S14c48447x480S14c40528x480S28907501x494S2891f471x494,,bolle
1003,fat,M552x521S14c48447x480S14c40528x480S28907501x494S2891f471x494,,fat
1004,budskap,M558x549S26711446x483S10010515x518S10018473x519S26707527x482S33b00482x483,,budskap
1005,frelse,M578x528S29706499x495S20e00495x516S19a50550x474S19a58421x473S2971e454x495S20308505x480S20300480x480S37600488x496,bevegelse fra bundet til fri,frelse
1006,frelse,M577x541S29707518x485S20e00492x529S19a50549x461S19a58423x458S2971f441x486S20308504x491S20300479x491S37600485x507,,frelse
1007,grunn,M523x514S15a1a479x502S15a12477x486S20500512x490S2f900512x506,,grunn
1007,grunnlag,M523x514S15a1a479x502S15a12477x486S20500512x490S2f900512x506,,grunnlag
1007,basis,M523x514S15a1a479x502S15a12477x486S20500512x490S2f900512x506,,basis
1009,h,M507x515S11540492x485,"håndalfabet, internasjonal enhånds",h
1009,H,M507x515S11540492x485,"håndalfabet, internasjonal enhånds",h
1010,h,M528x532S15d39472x501S15d51471x509S26607506x467S20e00495x489,"håndalfabet, norsk tohånds",h
1010,H,M528x532S15d39472x501S15d51471x509S26607506x467S20e00495x489,"håndalfabet, norsk tohånds",h
1011,hende,M514x534S15a06487x501S10000485x504S24e00486x466,alternativ skrivemåte,hende
1011,skje,M514x534S15a06487x501S10000485x504S24e00486x466,alternativ skrivemåte,skje
1011,sjanse,M514x534S15a06487x501S10000485x504S24e00486x466,alternativ skrivemåte,sjanse
1011,sannsynlig,M514x534S15a06487x501S10000485x504S24e00486x466,alternativ skrivemåte,sannsynlig
1012,hvem,M540x541S30c00482x482S11500490x511S20600518x506S33b00482x482,,hvem
1013,I,M510x510S19220489x491,"enhånds, norsk og internasjonalt",i
1013,i,M510x510S19220489x491,"enhånds, norsk og internasjonalt",i
1015,stolt,M552x523S33200482x488S10052522x495S30100482x477S2b701523x461S20e00521x488,,stolt
1015,kry,M552x523S33200482x488S10052522x495S30100482x477S2b701523x461S20e00521x488,,kry
1015,overlegen,M552x523S33200482x488S10052522x495S30100482x477S2b701523x461S20e00521x488,,overlegen
1016,melk,M545x543S30006482x482S1f520521x490S21100520x509S22a04521x528,,melk
1017,vann,M545x543S30006482x482S1f520521x490S21100520x509S22a04521x528,,vann
1018,melk,M543x540S33d00482x483S1f510494x525S26504529x499,,melk
1019,navn,M531x518S15a06470x483S10001475x488S26506516x481S21100502x482,,navn
1022,reise,M526x527S11559474x502S26627504x473S11551490x500,,reise
1026,ren,M531x520S20e00496x503S15a37473x488S26607509x481S15a51469x497,,ren
1028,sammen,M536x514S15a40502x487S15a48487x487S26502521x495S26516464x495,,sammen
1029,hotell,M519x539S15d49494x516S15a41482x478S37700500x500S20800482x522S27109492x461,,hotell
1030,sentrum,M516x538S15a16487x526S1c512484x493S20500505x512S29503491x461,,sentrum
1030,sentral,M516x538S15a16487x526S1c512484x493S20500505x512S29503491x461,,sentral
1031,20,M515x517S11502485x502S22a04492x483,,20
1031,tjue,M515x517S11502485x502S22a04492x483,,tjue
1032,sitte,M521x529S11851490x489S11557479x502S20600490x472,,sitte
1036,mat,M536x556S33b00482x482S18507505x518S22a01523x542,,mat
1037,spise,M538x559S33b00482x482S1eb37503x517S22f01517x538,,spise
1039,sulten,M532x531S15a0b467x507S22b14483x487S22b04500x487S21100483x468S21100504x468S15a03509x508,,sulten
1040,sur,M539x546S2e300489x519S15300524x510S34600482x482,,sur
1041,bleie,M549x569S15a36492x554S37806456x560S32104482x482S28c00511x541S15a40537x542,,bleie
1042,Syria,M540x545S34b00482x482S15300525x514S10002462x530S29001494x518,,syria
1044,trykk,M513x521S15a16486x509S20312489x494S2f920491x478,fysikk: kraft mot flate. Vanlig trykk på papir o.l.,trykk
1044,trykke,M513x521S15a16486x509S20312489x494S2f920491x478,fysikk: kraft mot flate. Vanlig trykk på papir o.l.,trykke
1045,vann,M528x552S10a10493x523S30004482x482S20e00515x519S22a04515x537,,vann
1046,vann,M536x513S28706504x489S14c51464x487,,vann
1047,v,M507x515S10e20492x485,"håndalfabet, enhånds, norsk og internasjonalt",v
1047,V,M507x515S10e20492x485,"håndalfabet, enhånds, norsk og internasjonalt",v
1048,x,M510x513S10620489x487,"håndalfabet, enhånds, internasjonalt",x
1048,X,M510x513S10620489x487,"håndalfabet, enhånds, internasjonalt",x
1049,x,M521x528S10020506x498S22b03479x471S22b05482x472,"håndalfabet, enhånds, norsk",x
1049,X,M521x528S10020506x498S22b03479x471S22b05482x472,"håndalfabet, enhånds, norsk",x
1050,x,M515x515S10019485x484S10011494x485,"håndalfabet, tohånds, norsk",x
1050,X,M515x515S10019485x484S10011494x485,"håndalfabet, tohånds, norsk",x
1051,y,M514x510S19a20486x490,"håndalfabet, enhånds, internasjonalt",y
1051,Y,M514x510S19a20486x490,"håndalfabet, enhånds, internasjonalt",y
1052,y,M511x526S1dc2f488x474S10010490x496,"håndalfabet, tohånds, norsk",y
1052,Y,M511x526S1dc2f488x474S10010490x496,"håndalfabet, tohånds, norsk",y
1053,z,M531x521S10020516x491S2460a469x479,håndalfabet,z
1053,Z,M531x521S10020516x491S2460a469x479,håndalfabet,z
1056,mitokondrie,M515x524S15448486x480S15440500x477S20700490x509,Liten del inne i cellene. Lager energi av næringsstoffer.Tegnet viser form,mitokondrie
1057,sann,M517x517S20300487x482S20304482x502S20b00504x496,,sann
1062,fisk,M508x532S15a40495x505S28700492x468,,fisk
1064,observere,M570x555S31400482x483S10e50524x500S22a04523x538S22a04557x540,,observere
1065,okse,M520x542S33200482x482S1ce02475x520S20800510x522,,okse
1066,ku,M537x518S10028465x467S10020520x468S2ff00482x483S26500523x452S26510460x451,,ku
1068,onkel,M525x529S10049475x483S10041487x485S26a05504x508S20e00475x471,,onkel
1068,tante,M525x529S10049475x483S10041487x485S26a05504x508S20e00475x471,,tante
1069,onkel,M526x529S26a05505x508S20e00476x471S11549473x488S11541485x488,,onkel
1069,tante,M526x529S26a05505x508S20e00476x471S11549473x488S11541485x488,,tante
1071,mandag,M539x550S18c00491x520S30004482x482S20600517x515,,mandag
1072,tirsdag,M518x537S10a00498x511S20600472x519S34800482x482,,tirsdag
1073,torsdag,M518x538S10a00498x512S20600473x517S34400482x482,,torsdag
1074,onsdag,M513x528S1ce10491x472S22f04487x514,,onsdag
1075,fredag,M553x534S10002492x512S21600495x521S26a06539x507S20e00525x513S2ff00482x483,,fredag
1077,januar,M540x548S19200519x505S20e00509x518S22f03494x527S30005482x483,,januar
1078,februar,M539x537S10002490x513S21600491x519S26a06525x510S20e00473x512S2ff00482x483,,februar
1079,mars,M568x511S1851c543x495S18514431x496S22104445x489S22104542x489S26612462x490S26606506x491,,mars
1080,april,M538x545S19a10464x525S20e00495x522S33200482x482S26b00511x520,,april
1081,mai,M523x519S18001484x481S20500477x507S20500513x508,,mai
1082,juni,M519x549S14c38487x518S17712491x450S29600492x479S22106480x460S22102512x459,,juni
1083,august,M539x560S15410524x498S30005482x482S2e000516x531,,august
1083,frukt,M539x560S15410524x498S30005482x482S2e000516x531,,frukt
1083,eple,M539x560S15410524x498S30005482x482S2e000516x531,,eple
1084,september,M517x513S1f420488x498S22114482x486,,september
1085,oktober,M542x517S17610492x483S20600520x487S2ff00482x482,,oktober
1085,slakte,M542x517S17610492x483S20600520x487S2ff00482x482,,slakte
1086,november,M533x515S15a42483x494S15a48467x484S26a02519x488,,november
1086,motstand,M533x515S15a42483x494S15a48467x484S26a02519x488,,motstand
1087,ung,M520x557S36a00482x482S1ed06491x531S2b800458x516S20e00481x517S20e00508x517S30300482x471,,ung
1088,ungdom,M518x578S36a00482x477S1ed06491x535S20e00502x522S20e00487x522S22f00487x564,,ungdom
1089,gammel,M535x575S10000496x505S25104498x542S21100522x496S2ff00482x482,,gammel
1090,gammel,M535x554S10000496x505S2ff00482x482S21100522x496S22f04494x540,,gammel
1091,farge,M528x534S14c07471x467S14c21477x483S25105503x508,substantiv,farge
1095,lilla,M558x529S31410482x482S11501505x502S28806536x499S21100522x495,,lilla
1095,fiolett,M558x529S31410482x482S11501505x502S28806536x499S21100522x495,,fiolett
1099,blind,M536x527S31b00482x482S20500526x490S11501504x500,,blind
1100,blind,M529x523S31b00482x482S11501504x496,,blind
1101,blind,M573x517S31600482x482S15a02500x488S1f702558x483S20e00513x471S26506534x488,,blind
1107,celle,M525x521S16d10485x480S16d18476x501S20600503x502,,celle
1110,lytte,M557x518S33010479x483S15a20524x484S26502542x494,,lytte
1111,lytte,M535x518S33010479x483S15a20523x485,,lytte
1112,lytte,M532x518S33010479x483S17120515x483,,lytte
1114,20,M545x508S11502455x492S11002518x492S26506492x494,,20
1114,tjue,M545x508S11502455x492S11002518x492S26506492x494,,tjue
1116,tre,M522x539S14c10478x461S37800488x492S15a1a479x527S2e200502x490,,tre
1123,Bibel,M522x574S22a06494x546S15a08501x427S15a00487x427S2df04501x459S2df1c479x459S15a00487x501S21100488x529S22b04487x544S11502492x510,,bibel
1124,bok,M521x526S2df1c478x505S15a08500x473S15a00486x473S2df04500x505,,bok
1125,litteratur,M521x531S2e004500x503S15a08499x469S15a00485x469S2e01c479x503,"tegnet utføres ofte slik at bare høyre hånd gjentar bevegelsen, og da gjerne noe til siden for første gang",litteratur
1126,Lukas,M578x532S1dc20422x468S11520459x468S2a20c456x504S14020482x468S1f720521x482S1f420549x482S22104551x472,,lukas
1129,vers,M537x513S15d08463x486S1ef20473x494S20e00507x495S26506522x494,,vers
1129,avsnitt,M537x513S15d08463x486S1ef20473x494S20e00507x495S26506522x494,,avsnitt
1131,desember,M549x541S10010514x460S10018465x459S22a04517x507S22a04526x526S22a14468x507S22a14459x525S26605527x503S26613451x501,fire lys,desember
1131,advent,M549x541S10010514x460S10018465x459S22a04517x507S22a04526x526S22a14468x507S22a14459x525S26605527x503S26613451x501,fire lys,advent
1132,kapellan,M524x535S36d00479x465S10001501x505S23302484x474S21100511x477,underordnet prest,kapellan
1135,21,M535x517S10000520x487S11502465x501S22a04476x483,,21
1136,22,M534x517S11500519x487S11502466x502S22a04471x484,,22
1137,13,M512x526S11e50488x475S22e04495x508,standard tegn 2000+,13
1138,18,M533x526S11e50509x475S22e04516x508S14c58467x479,,18
1139,uke,M524x510S1ed20475x490S26506509x496,,uke
1141,juni,M545x537S19220523x472S11504472x505S11500472x464S19220524x501S28804455x483S2a20c494x470S2a204495x509,eldre variant?,juni
1142,juli,M539x537S19220517x472S2a204489x509S11500466x464S19220518x501S1dc10462x499S2a20c488x470,eldre variant?,juli
1143,mai,M522x545S16d48477x498S22b00503x491S21300477x526S17706503x525S14c00499x455,,mai
1144,dommer,M536x542S1eb17516x515S33b00482x483S20600490x504,,dommer
1146,12,M526x515S1dc01503x485S1eb41473x496,alternativ skrivemåte,12
1146,tolv,M526x515S1dc01503x485S1eb41473x496,alternativ skrivemåte,tolv
1147,12,M520x519S21b00512x489S1dc41489x489S21b00480x481,,12
1147,tolv,M520x519S21b00512x489S1dc41489x489S21b00480x481,,tolv
1148,8,M530x515S11e00507x484S14c08470x484,,8
1149,9,M528x516S14400506x485S14c08472x484,to-hånds alternativ,9
1149,ni,M528x516S14400506x485S14c08472x484,to-hånds alternativ,ni
1150,30,M517x519S26506502x480S21600483x483S11e02484x496,munnstilling skal være E,30
1151,februar,M520x533S16f31491x482S16f59483x467S21310480x509S2f900484x528S2f900504x528,"eldre tegn, 'riktig norsk tegnspråk', som dansk.
Brukes av noen døve",februar
1152,januar,M538x537S17106493x520S17112490x510S1711a492x464S1711e490x474S2a218461x488S2a20c515x492,"eldre tegn, 'riktig norsk tegnspråk', = dansk?",januar
1153,oktober,M547x539S2ff00482x482S14c50523x471S22a04529x506S22a04529x524,"eldre tegn, 'riktig norsk tegnspråk',",oktober
1154,desember,M553x524S28c07500x490S28c1f472x489S22a17481x477S22a01504x478S10011532x494S10019447x492,Standard? Trondheimsvariant?,desember
1154,jul,M553x524S28c07500x490S28c1f472x489S22a17481x477S22a01504x478S10011532x494S10019447x492,Standard? Trondheimsvariant?,jul
1155,september,M523x524S1f50a507x500S14c12492x482S22522477x477,"eldre tegn, 'riktig norsk tegnspråk'",september
1156,32,M533x525S18601476x488S21600467x479S22a05500x511S10e00518x475,,32
1157,41,M534x526S14401471x485S21600465x477S22a05497x512S10000519x474,tall,41
1158,42,M530x526S14401475x485S21600469x477S22a05501x512S10e00515x474,tall,42
1159,43,M531x527S14401475x486S21600469x478S22a05501x513S18600513x473,tall,43
1160,44,M531x527S14401475x486S21600469x478S22a05501x513S14400509x472,tall,44
1161,45,M531x526S14401475x485S21600469x477S22a05501x512S14c00508x473,tall,45
1162,46,M531x524S14401475x483S21600469x475S22a05501x510S1f502516x477,tall,46
1163,47,M532x527S14401474x486S21600468x478S22a05500x513S1dc01509x473,tall,47
1164,48,M531x527S14401475x486S21600469x478S22a05501x513S11e01506x472,tall,48
1165,49,M537x533S26500518x466S21600463x487S22a05496x519S14410515x489S14401471x495,tall,49
1166,51,M533x526S14c01474x488S21600467x479S22a05499x512S10000518x474,tall,51
1167,52,M530x527S14c01477x489S21600470x480S22a05502x513S10e00515x473,tall,52
1168,33,M531x525S18601478x488S21600469x479S22a05502x511S18600513x475,tall,33
1169,34,M533x526S18601475x489S21600466x480S22a05499x512S14400511x473,tall,34
1170,35,M533x526S18601475x489S21600466x480S22a05499x512S14c00510x473,tall,35
1171,36,M533x523S18601476x486S21600467x477S22a05500x509S1f502518x478,tall,36
1172,37,M535x523S18601474x486S21600465x477S22a05498x509S1dc01512x478,tall,37
1173,38,M533x524S18601475x487S21600466x478S22a05499x510S11e01508x476,tall,38
1174,39,M539x530S26500520x469S21600461x487S22a05493x516S14410517x492S18601471x496,tall,39
1175,januar,M522x537S17116488x520S17112488x510S1711a490x464S1711e488x474S20800512x473S20800477x518,,januar
1177,tegn,M524x521S14c48476x478S14c10501x482S21100494x507,,tegn
1179,her,M508x529S10004493x471S22a04491x514,,her
1180,positiv,M515x515S1001a485x489S10010497x485,,positiv
1181,strikke,M531x541S10049480x475S10041499x473S20500499x459S2a40c506x505S2a414468x505,,strikke
1182,trist,M546x532S31400482x482S22a05533x505S21100522x493S10001505x502,,trist
1182,synd,M546x532S31400482x482S22a05533x505S21100522x493S10001505x502,,synd
1187,Sogn,M578x517S2ff00482x482S1ed10521x484S2c304551x491,,sogn
1190,sist,M524x531S19209476x498S19240503x501S20e00494x487S22a04493x516S22a04494x469,,sist
1190,siste,M524x531S19209476x498S19240503x501S20e00494x487S22a04493x516S22a04494x469,,siste
1192,Zimbabwe,M522x520S26904506x493S18220478x479S37700496x495S37702484x495,sett i tolking av Dagsrevyen 19. april 2008,zimbabwe
1193,Zimbabwe,M537x520S37702469x495S18220463x479S37700481x495S26f00495x483S22f04499x499S2fb06531x492,sett i Tegnspråknyheter på NRK 19. april 2008,zimbabwe
1194,skeptisk,M521x537S35100482x482S1dc01486x504S21800465x513S21200456x523S20500511x513,,skeptisk
1195,maskin,M546x513S14c02498x487S14c0a471x490S2881c454x490S28804534x489,,maskin
1195,bedrift,M546x513S14c02498x487S14c0a471x490S2881c454x490S28804534x489,,bedrift
1195,fabrikk,M546x513S14c02498x487S14c0a471x490S2881c454x490S28804534x489,,fabrikk
1195,apparat,M546x513S14c02498x487S14c0a471x490S2881c454x490S28804534x489,,apparat
1198,hurra,M558x560S34000482x482S14c10535x478S14c18438x478S2e204537x526S2e21c438x523,,hurra
1198,applaus,M558x560S34000482x482S14c10535x478S14c18438x478S2e204537x526S2e21c438x523,,applaus
1199,glad,M560x576S33f00482x483S15d02487x542S2c600526x542S2c600541x541S20f00490x564,,glad
1200,Stortinget,M587x526S14c40504x475S14c48475x475S1ce40565x477S1ce48413x476S22a04567x511S22a14419x511S22b12442x492S22b06529x493,parlament i Norge,stortinget
1201,motta,M525x525S15d30506x475S15d38474x476S26504503x510S26514481x510,rettnigsbøyd verb,motta
1202,behandle,M541x531S15d02496x469S15d0a475x469S27110459x499S27104501x499S20f00488x519,"en sak, ikke person",behandle
1203,forslag,M518x585S15d39486x535S15d31491x542S20500492x567S2f900492x580S35000482x483S32104482x482,,forslag
1203,sak,M518x585S15d39486x535S15d31491x542S20500492x567S2f900492x580S35000482x483S32104482x482,,sak
1204,offentlig,M549x529S15d48451x472S15d40530x473S2df08526x508S2df10453x508S15d0a472x491S15d02501x492,,offentlig
1206,forskrekket,M552x572S31a00479x488S36f08464x524S30100479x477S36f00475x524S22a00489x542S21100489x558S15300510x546S34900479x488S33a10524x499S2f700540x506,,forskrekket
1207,din,M510x527S15d20489x500S26500496x480S2f900498x472,"Tegnet utføres i retning av den som har eller eier.
Døves eget tegnspråk, NTS, bruker ikke genitiv, men det brukes noen ganger når tegnene skal følge tale.",din
1208,abonnere,M525x523S15d39481x500S1f751475x477S22f04500x480S20b00506x496,,abonnere
1209,foster,M521x543S36d00479x457S20300492x512S16f48470x499S20500475x524S20500495x532,,foster
1213,abstrakt,M550x517S2ff00482x482S2e507504x479S14411521x459,,abstrakt
1214,addisjon,M515x515S10018492x485S10012485x490,,addisjon
1214,pluss,M515x515S10018492x485S10012485x490,,pluss
1215,addisjon,M518x522S10018488x479S10012481x484S26500504x507,alternativ stavemåte,addisjon
1216,adferd,M543x559S10048466x528S10040522x529S29508528x491S29510461x491S22c00527x442S22c10457x444,,adferd
1217,adferd,M542x528S15a40493x472S15a48457x472S26626495x498S22a24476x510S22a24529x513,,adferd
1218,adgang,M542x534S26600520x466S26610464x468S15d48459x507S15d40523x503,,adgang
1220,administrasjon,M554x544S27114447x483S27100514x492S17650512x467S17658459x457S16c40489x522S16c48465x523S26502512x528S26516446x529,gjelder gruppen som administrerer,administrasjon
1221,drepe,M548x523S36a00482x477S1f521514x501S26503535x491,,drepe
1224,adopsjon,M528x537S14c41502x463S20341472x508S15d39477x514S2b703492x490,,adopsjon
1225,adopsjon,M529x558S16d40511x525S16d48471x524S2f900474x553S2f900515x553S26220492x485S14c01488x453S20500500x441,"Løfte et barn opp og inn til seg, elske det. Tegnet bruker begge hender sammen som én profrom",adopsjon
1226,adresse,M523x526S15d39476x492S11533495x474S20e00494x514S26a07502x499,,adresse
1227,adresse,M523x526S15d39477x492S11533496x474S20e00495x514S26507508x499,,adresse
1228,energi,M539x518S20340524x501S20348461x502S2d200497x487S2d210480x487S20350522x482S20358461x483S2f900490x511S2f900506x513,,energi
1229,advare,M540x553S32d00482x482S10010488x523S26500509x523S26500526x523S34c00482x482,,advare
1230,advent,M520x518S18100498x412S26224504x446S26224482x447S32100482x483,,advent
1231,advent,M541x516S22110513x485S22110466x485S18030511x500S18038460x501,,advent
1232,advokat,M528x530S15d41505x470S15d39487x489S26601484x490S21100509x516S21100472x476S26605488x494,,advokat
1233,advokat,M523x529S15a39477x482S27105489x495S21100510x515S15d41487x472,,advokat
1234,lov,M520x523S15a20487x496S15a12479x477S20b00506x505S26504506x485,juss. En lov,lov
1235,advokat,M531x555S15a20477x465S15a12469x446S20b00496x474S26504496x454S1ed26512x507S22a04514x540,,advokat
1235,jurist,M531x555S15a20477x465S15a12469x446S20b00496x474S26504496x454S1ed26512x507S22a04514x540,,jurist
1236,aften,M535x524S2ff00482x482S22c03476x491S15d01512x470,,aften
1236,kveld,M535x524S2ff00482x482S22c03476x491S15d01512x470,,kveld
1237,aggresjon,M542x539S2ff00482x482S15300527x490S2e600488x495S2f700501x532,,aggresjon
1238,aggresjon,M572x517S2ff00482x482S20500515x484S20500475x483S14c10537x464S14c18439x466S22a06527x483S22a12458x482S21b00430x475S21b00464x469S21b00528x468S21b00564x473S21b00458x461S21b00533x457,,aggresjon
1239,aggresjon,M568x517S2ff00482x482S10118468x470S10110516x471S14c10545x466S14c18427x468S26506536x499S26512445x500,alternativ skrivemåte,aggresjon
1240,agurk,M573x537S1ed18475x463S1ed10502x463S1f41f427x503S1f417552x507S2890b535x477S28913441x473,,agurk
1242,akademi,M545x557S2ff00482x482S18210522x508S2e00c524x529,,akademi
1243,ake,M558x528S36d00479x472S36d00478x524S20e00521x497S20e00467x497S26510464x476S26500521x476S15d30539x484S15d38444x486,,ake
1243,akebrett,M558x528S36d00479x472S36d00478x524S20e00521x497S20e00467x497S26510464x476S26500521x476S15d30539x484S15d38444x486,,akebrett
1244,akkurat,M524x530S15a36475x518S15a40480x470S20b00480x501S23100498x481,bekreftende,akkurat
1246,juks,M541x550S1f540493x519S2ff00482x482S20e00517x512S2c300515x527,,juks
1252,temperatur,M529x519S10018484x489S15a12471x483S23100503x480S21100509x499,,temperatur
1253,temperatur,M530x523S10028470x491S15a50489x477S23100504x488S21100488x509,,temperatur
1254,temperatur,M519x526S10028490x496S15a50507x481S23100481x474S21100488x492,,temperatur
1255,temperatur,M525x529S10018479x472S10012475x476S21100498x495S23604486x512,,temperatur
1256,profet,M554x518S10020539x467S33010479x483S20e00503x496S2c700516x476S34400479x483,"uoffisielt tegn, oppstått i religionsundervisning på Bjørkåsen.",profet
1257,profet,M520x578S2ff00482x482S22522476x516S22b04492x548S14c02489x520,"offisielt (?), vanlig tegn",profet
1258,jul,M548x529S10019477x472S10011502x471S25105523x502S25113451x504,,jul
1259,ny,M536x533S33200482x482S11510499x503S26500522x498,,ny
1265,21,M549x515S10000534x485S11802485x499S10e02450x498,tall,21
